id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
f91a7dda-9dcd-4761-bc92-b88de4f89002,0388cf4b-6df2-4162-8b5d-92a02dff54af,Entire home/apt,Leblon,0.0,0.0,15.0,29,,0.0
b39161b9-5c05-4e9a-a370-ecea54b81f59,cff958fa-f304-45e6-b38e-78fc3731f252,Entire home/apt,Copacabana,4.0,0.0,16.0,31,0.019288194444444445,1.0
49bc801d-1c8f-4dd3-bc4c-06464bc85edf,475b10ec-0e63-4dbd-8621-fdc0b04adfa3,Private room,Estacio,0.0,0.0,2.0,9,,0.0
82fcc53b-e0d9-4354-a96e-126f9904282a,d14570e4-8458-45fb-9060-e8ed28669aec,Entire home/apt,Centro,0.0,58.0,4.0,8,,0.0
142c85fe-3bce-4643-9884-a0743ea30c29,cacf75e9-4955-4128-adbf-1fc9252e25aa,Entire home/apt,-unknown-,1.0,52.0,10.0,15,0.14052083333333332,0.5
e9922e22-1013-42c0-bc0d-c8916fc255ff,a215b1d9-641c-4c81-a796-f4f762d88616,Entire home/apt,Copacabana,0.0,0.0,19.0,8,,0.0
0f3e3de7-d8ab-4659-8e5a-72e21e67a699,f1801a31-2788-4ef1-9605-6189f8302b9e,Entire home/apt,-unknown-,2.0,16.0,6.0,22,0.3636631944444444,0.5
1d7ebc0a-2f95-4a9d-8ff7-50885b688a79,414c1522-abee-4173-a15b-cefbcb6e1677,Private room,Flamengo,0.0,7.0,1.0,5,,0.0
a3803a5b-5a5d-444f-a0a6-a03ed6a9e845,c92711bf-23a0-4527-99c2-08bad0f61484,Entire home/apt,-unknown-,0.0,0.0,17.0,6,,0.0
bb76d233-0d4e-4b3c-ad81-e6e8ca38bebd,c1169e28-fbe3-40ec-9089-4813b3ba3966,Entire home/apt,Botafogo,3.0,119.0,14.0,61,0.0720408950617284,0.42857142857142855
c8f2d57a-72d6-48b6-803e-ea3a99aef2e2,cdb011c4-3aef-4f94-9ee3-2427971aeef5,Entire home/apt,-unknown-,1.0,0.0,3.0,6,0.0,1.0
b999d020-0e3f-42cd-a72c-254dafd15103,1aabc3fc-4600-4f8d-8e28-f913357334f6,Entire home/apt,-unknown-,0.0,0.0,2.0,4,,0.0
269eed41-3acc-4720-89b4-b91fe0f0ff1e,db207f74-3e5f-4037-b612-d09c3093e9e6,Entire home/apt,-unknown-,0.0,16.0,6.0,7,,0.0
1a3b98f6-a8d0-4635-a8bc-a8104a9e1576,ce328710-e66e-4e22-bb05-8c36464840d8,Private room,-unknown-,3.0,104.0,6.0,51,0.3041435185185185,0.75
dcea389e-486d-4dc9-98f3-9f341d5b3a4d,620bf58b-e385-4193-9350-98443cb3d242,Entire home/apt,Copacabana,14.0,1254.0,53.0,202,0.0025603505291005293,0.7368421052631579
8e9dc266-8470-4d69-9844-08050cf220d2,04f2a83a-391f-47e5-8d65-10030cc836fa,Entire home/apt,-unknown-,4.0,90.0,13.0,93,0.017317708333333334,0.8
14b3c7f0-a583-4664-b147-27bb09d556f8,8d3dbcef-df6d-466d-b6c4-3d8813b0a714,Entire home/apt,-unknown-,3.0,65.0,13.0,43,-0.00027006172839506176,0.6
ab2c1089-5bb3-4069-a6c7-89b81ef0b0db,332353d5-342d-4353-912d-61e99150335e,Entire home/apt,-unknown-,0.0,2.0,3.0,10,,0.0
